period,mca_dimension,mca_variance_explained,algorithm,distance_metric,feature_space,cluster_k,batch_size,n_init,m,error,maxiter,silhouette_score,davies_bouldin_index,calinski_harabasz_index,silhouette_sample_size,fpc,mean_max_membership,boundary_ratio,mean_jaccard_distance,running_time_seconds,metric_warning,label_file,membership_file,center_file,cluster_size_file
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,4096.0,5.0,,,,0.18334206872449105,4.34413999011131,1018.8154684516685,10000,,,,,1.2792158126831055,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit5_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit5_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,4096.0,10.0,,,,0.17865203728096948,4.442438002671241,1079.8052987847268,10000,,,,,1.4216179847717285,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit10_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit10_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,4096.0,20.0,,,,0.31021140230490135,1.4005485094043622,1565.3497806789196,10000,,,,,1.265740156173706,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit20_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit20_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,8192.0,5.0,,,,0.23493061202428112,1.7163760589347603,1571.7455671053626,10000,,,,,1.2127432823181152,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit5_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit5_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,8192.0,10.0,,,,0.23493061202428112,1.7163760589347603,1571.7455671053626,10000,,,,,1.407315969467163,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit10_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit10_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,8192.0,20.0,,,,0.23493061202428112,1.7163760589347603,1571.7455671053626,10000,,,,,1.5474200248718262,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit20_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit20_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,16384.0,5.0,,,,0.12002496521136709,4.960693386268313,1274.380491134024,10000,,,,,1.5828590393066406,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit5_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit5_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,16384.0,10.0,,,,0.18641854366534197,3.6850236652141444,1250.2007432540915,10000,,,,,1.6714377403259277,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit10_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit10_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,3,16384.0,20.0,,,,0.17949381449180787,3.7843180932045737,1176.394237003789,10000,,,,,2.0277597904205322,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit20_labels_K3.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit20_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.1,0.01,300.0,0.03438598213984885,4.608077747460161,1369.8275366657624,10000,0.6372698406998446,0.7162870004453312,0.24218467421071668,,2.0610692501068115,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p1_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p1_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p1_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.2,0.01,300.0,-0.018077086387418978,5.482213860557118,935.0714103794618,10000,0.3333372061061424,0.3341176460488237,1.0,,1.2311148643493652,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p2_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p2_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p2_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.3,0.01,300.0,-0.023718830019787987,5.453946879668564,946.5910115916478,10000,0.33333334385880337,0.3333739546136831,1.0,,1.09299898147583,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p3_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p3_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p3_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.4,0.01,300.0,-0.03328542408370826,5.383429589240539,949.862235039106,10000,0.33333333518069597,0.33335030971798735,1.0,,1.2557508945465088,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p4_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p4_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p4_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.5,0.01,300.0,-0.03964791698395849,5.401338868628354,928.5367852821038,10000,0.3333333341430886,0.3333445426345682,1.0,,1.0601270198822021,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p5_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p5_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p5_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.6,0.01,300.0,-0.04404390948615441,5.393666072129597,915.497121591984,10000,0.33333333351567623,0.33333860593677433,1.0,,1.0270490646362305,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p6_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p6_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p6_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.7,0.01,300.0,-0.053633845599126345,5.417155516643717,882.6010007869381,10000,0.33333333368629464,0.3333407355895144,1.0,,1.0155227184295654,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p7_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p7_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p7_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.8,0.01,300.0,-0.05904735376681398,5.424455644573485,866.5609289528909,10000,0.33333333348709987,0.33333819157134315,1.0,,1.757864236831665,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p8_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p8_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p8_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,1.9,0.01,300.0,-0.06300487668650576,5.439803297790753,843.602345122418,10000,0.333333333409652,0.33333674196725094,1.0,,1.335495948791504,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p9_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p9_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p9_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,2.0,0.01,300.0,-0.06497017783921602,5.4621465231374025,817.1650496822007,10000,0.33333333337521054,0.33333585414563593,1.0,,1.037877082824707,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m2p0_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m2p0_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m2p0_cluster_size_K3.csv
after_2017_03,53,80%,FCM,euclidean,mca_coordinates,3,,,4.0,0.01,300.0,0.06358750472653249,4.819370342257355,1179.2718089400332,10000,0.33333333334497783,0.33333506877599145,1.0,,1.1709606647491455,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m4p0_labels_K3.npy,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m4p0_membership_K3.npy,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m4p0_cluster_size_K3.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,5,4096.0,5.0,,,,0.029901664872600965,3.9001941596773095,1241.5198819386144,10000,,,,,1.0632588863372803,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit5_labels_K5.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit5_cluster_size_K5.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,5,4096.0,10.0,,,,0.04707889916122355,3.838648579221492,1293.1463806105749,10000,,,,,1.3039710521697998,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit10_labels_K5.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit10_cluster_size_K5.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,5,4096.0,20.0,,,,0.06720664300909154,3.0912658774986754,1342.074753316581,10000,,,,,1.3505098819732666,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit20_labels_K5.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit20_cluster_size_K5.csv
after_2017_03,53,80%,KMeans,euclidean,mca_coordinates,5,8192.0,5.0,,,,0.16357556547555627,3.8639294744038324,941.8846146693534,10000,,,,,1.339418888092041,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit5_labels_K5.npy,,,after_2017_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit5_cluster_size_K5.csv
